MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MoSold,SaleType,SaleCondition,Id,LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,SalePrice
60,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,1,3,1,Gd,8,Typ,0,None,Attchd,RFn,2,TA,TA,Y,None,None,None,2,WD,Normal,1,65,8450,2003,2003,196,706,0,150,856,856,854,0,1710,2003,548,0,61,0,0,0,0,0,2008,208500
20,RL,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,None,None,None,5,WD,Normal,2,80,9600,1976,1976,0,978,0,284,1262,1262,0,0,1262,1976,460,298,0,0,0,0,0,0,2007,181500
60,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,None,None,None,9,WD,Normal,3,68,11250,2001,2002,162,486,0,434,920,920,866,0,1786,2001,608,0,42,0,0,0,0,0,2008,223500
70,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,3,TA,TA,Y,None,None,None,2,WD,Abnorml,4,60,9550,1915,1970,0,216,0,540,756,961,756,0,1717,1998,642,0,35,272,0,0,0,0,2006,140000
60,RL,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,TA,TA,Y,None,None,None,12,WD,Normal,5,84,14260,2000,2000,350,655,0,490,1145,1145,1053,0,2198,2000,836,192,84,0,0,0,0,0,2008,250000
50,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,1,1,1,1,TA,5,Typ,0,None,Attchd,Unf,2,TA,TA,Y,None,MnPrv,Shed,10,WD,Normal,6,85,14115,1993,1995,0,732,0,64,796,796,566,0,1362,1993,480,40,30,0,320,0,0,700,2009,143000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,None,None,None,8,WD,Normal,7,75,10084,2004,2005,186,1369,0,317,1686,1694,0,0,1694,2004,636,255,57,0,0,0,0,0,2007,307000
60,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,RFn,2,TA,TA,Y,None,None,Shed,11,WD,Normal,8,0,10382,1973,1973,240,859,32,216,1107,1107,983,0,2090,1973,484,235,204,228,0,0,0,350,2009,200000
50,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,Unf,2,Fa,TA,Y,None,None,None,4,WD,Abnorml,9,51,6120,1931,1950,0,0,0,952,952,1022,752,0,1774,1931,468,90,0,205,0,0,0,0,2008,129900
190,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,RFn,1,Gd,TA,Y,None,None,None,1,WD,Normal,10,50,7420,1939,1950,0,851,0,140,991,1077,0,0,1077,1939,205,0,4,0,0,0,0,0,2008,118000
